"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NTN1",891.683064145797,-3.68556866655003,0.446205996840555,4.29530858644355e-19,9.0142419822251e-17
"MDFI",252.808159335768,3.8018383537755,0.463632989694495,5.38461590362982e-19,1.11607798032149e-16
"AZGP1",3411.39551858723,4.23189837528342,0.544810046104736,6.78537739307369e-19,1.38926464697944e-16
"DPT",1936.89101668719,-4.39981700554545,0.572361533497217,8.21212041082108e-19,1.66037466120211e-16
"CXCL3",754.702053600831,3.63102051922673,0.445022656863249,8.31695125207876e-19,1.66037466120211e-16
"PRSS33",365.395497039934,4.87038852665499,0.604299597341321,8.40620919662751e-19,1.66037466120211e-16
"HSPB8",1784.43538649942,-3.72610219778484,0.455443508658614,1.10332307151289e-18,2.1539175636779e-16
"EPB41L3",2108.8877486627,-3.35565363927929,0.408593055507608,1.37821574233824e-18,2.65963955150768e-16
"MAFG-AS1",122.134309018442,3.37207462683493,0.40454868816397,1.85583840573367e-18,3.54064443112075e-16
"CCNO",228.139806723419,3.80587494690552,0.471253991235503,1.91269495706005e-18,3.60811636337991e-16
"GUCA2A",13417.9374360061,-4.74253067825515,0.652568410271248,2.42558023033765e-18,4.52478516523764e-16
"TNXB",3109.65085014322,-4.19113017796771,0.548936328327821,2.56435069488458e-18,4.73108613367222e-16
"AJUBA",410.34419658938,3.02727927912389,0.364329186591789,2.82447249634132e-18,5.15435529794288e-16
"TESC",1894.214963977,4.95962546830922,0.685917097927217,2.97449467093318e-18,5.35890819877261e-16
"MAPK15",158.078073438383,4.41025568853738,0.564930764607016,3.00040127872193e-18,5.35890819877261e-16
"FAM129A",2745.55539306091,-3.1184630201369,0.378887173998782,3.18461987839681e-18,5.62806138298989e-16
"MMRN1",482.394944770595,-4.03659620455242,0.514869546713266,4.30119778242027e-18,7.52216766344311e-16
"NPFFR1",56.1939416662736,3.75073445051245,0.450196328689324,5.76103082291827e-18,9.87853410600032e-16
"CGREF1",644.851806990774,4.02252873429549,0.524395611759871,5.76625375179005e-18,9.87853410600032e-16
"NANOS3",76.2612403970585,4.19013736106008,0.518042451923288,6.34393500608271e-18,1.07584166481942e-15
"SLCO4A1",2169.52772395701,3.76802279359026,0.489410840274722,8.29614744414418e-18,1.39284019439737e-15
"GAS6-AS1",335.72579458452,3.83997111320666,0.494220795357789,9.57195518107587e-18,1.59112431222854e-15
"HAPLN3",464.159028888355,2.64484016972951,0.321056777450184,1.376361071903e-17,2.26546333688034e-15
"MYLK",16564.9029529334,-3.24047934704858,0.409062581162935,1.58250020841248e-17,2.57947533971234e-15
"CNTD2",316.085558744981,4.97403407659962,0.687273900924112,1.73372892139768e-17,2.7988052751294e-15
