"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FABP6",538.975976629532,7.59325373568686,0.599428400453742,2.22938227915542e-38,3.70166633630966e-34
"ETV4",2955.92509241516,6.2707907713481,0.521189674552962,1.30369309405644e-34,1.08232600668566e-30
"IER5L",467.200061374588,3.15489863474245,0.282495478518218,4.09857923050729e-30,2.2684269847781e-26
"KRT80",1009.98504965297,8.0181500873841,0.724863625172335,1.15320668267145e-29,4.7869609397692e-26
"FUT1",262.90778718384,3.34422799598218,0.321265461409544,1.33413587953115e-26,4.43039842874703e-23
"C17orf96",228.65440254497,3.52483114553151,0.342901918307651,6.98641727771558e-26,1.93337454131983e-22
"CLDN1",2113.98285274283,5.37946871100366,0.531060015068213,2.31622842840455e-25,5.49409383217559e-22
"ATG9B",249.17666694785,4.65123365886675,0.465711982190765,1.00825161017794e-24,2.09262621692432e-21
"KIAA1257",127.977053944411,4.45640070156979,0.458574722362674,1.46691553951664e-23,2.68722388616497e-20
"SLC51B",1123.92318576971,-3.88681795210888,0.399952348699019,1.61841958935495e-23,2.68722388616497e-20
"MT1H",821.15614338075,-5.78051227044721,0.595775010485059,2.09030968914401e-23,3.1552274616861e-20
"CDH3",2380.66260850847,5.82279170920479,0.602841609488643,2.5724891631464e-23,3.55946750540691e-20
"ESM1",118.98605731266,6.39463247454259,0.664747220436123,4.60511618881969e-23,5.88179609224325e-20
"COL10A1",518.276349276231,8.06224655058364,0.844900374407965,5.26466852802249e-23,6.24389687423467e-20
"MMP11",3532.22652564755,5.41554347355232,0.565890424408847,6.00627327260039e-23,6.64854409455045e-20
"PDX1",228.993169735809,3.82199792716466,0.401785920484899,1.30472875759796e-22,1.35398226819728e-19
"KRT23",1793.80984254507,8.09066590495507,0.856204108489681,1.70244170046458e-22,1.6627848232067e-19
"DPEP1",11816.9439776777,8.83431758008266,0.938630098733064,2.25605138145388e-22,2.08108206320334e-19
"TESC",924.192428234444,4.44369319013489,0.47230586523655,4.07841117798563e-22,3.56410206311965e-19
"GRIN2D",1548.29777536812,5.89602730545738,0.64796646412159,4.83364902644005e-21,4.01289542175053e-18
"COL11A1",490.784917069741,5.4431920729341,0.600218990860607,6.11902326061035e-21,4.83810772472258e-18
"MT1X",1594.12982987861,-3.45140025481145,0.38148448318859,1.06587612963719e-20,7.95285172349519e-18
"MT1G",6176.08286864796,-4.51530844781489,0.500748818845607,1.10163568802933e-20,7.95285172349519e-18
"ELFN1-AS1",225.430020349445,5.32996122267307,0.592001039926103,1.29251811937349e-20,8.94207118919896e-18
"NOTUM",1680.21328495829,9.85759754592971,1.10278595094299,1.56887903988185e-20,1.04198670312793e-17
"CEMIP",3172.06596075294,5.71344054723788,0.640474249906751,2.53995310795225e-20,1.62205313093997e-17
"LEMD1",75.7086624201466,5.80727084708073,0.650677175151682,3.06814277474263e-20,1.88679417154913e-17
"FXYD5",2424.86890810033,2.15919729852874,0.241162286982614,3.87740358925521e-20,2.29930032842834e-17
"FOXQ1",1216.80830667952,7.08146240303917,0.805912770264115,8.35782898095168e-20,4.72332562985463e-17
"SLC13A3",291.803554254012,5.18848351306878,0.592281605303647,8.53407425292934e-20,4.72332562985463e-17
"TACSTD2",977.237947941043,5.53333634589531,0.630481651026309,8.99804827745565e-20,4.81947076125399e-17
"COMP",810.438040516671,7.09595693321055,0.817039642310515,1.45748717890762e-19,7.56253659955691e-17
"PRR36",285.599914684233,4.63123374977634,0.533803436848967,2.31807907123249e-19,1.16634499693165e-16
"SHISA2",104.104919526704,4.05807990238054,0.469186052960653,3.93045831754944e-19,1.91945087954679e-16
"NR3C2",2233.87836438978,-3.64704334990297,0.423118422189662,4.42698588569056e-19,2.1001621041716e-16
"SULT1B1",4756.77680244101,-3.75999685081966,0.434821626916946,4.87231133589769e-19,2.24721826170126e-16
"MT1F",1092.65198249606,-3.18771875075403,0.370835088768007,5.14332482722716e-19,2.26219173093943e-16
"CNTD2",192.637729179983,6.12364729368181,0.715234509252421,5.17726365789558e-19,2.26219173093943e-16
"SNHG17",1499.6671987248,3.197964851397,0.371063412554619,5.36882043517163e-19,2.28574088475871e-16
"MMP7",1008.72817422028,7.6681315651379,0.898136000567082,6.3058532066435e-19,2.61755966607772e-16
"SULT2B1",1364.95625291546,5.53577322795855,0.647200778011328,6.4925823530521e-19,2.62933749731895e-16
"INHBA",656.205591460589,5.46496057674703,0.641023701751252,7.80511317505636e-19,3.08562140853895e-16
"WNT2",206.73871331294,6.05984605209043,0.716042236179142,9.72917523856888e-19,3.7568192014232e-16
"CGREF1",755.337857216466,3.85647593813469,0.455021192519329,1.41960382068933e-18,5.31144228126314e-16
"LMTK3",217.884881373044,3.44902622145745,0.405963816057347,1.43950194324766e-18,5.31144228126314e-16
"HAGHL",536.714584115122,4.87410890485639,0.583569821403239,3.90861076287145e-18,1.41083854579821e-15
"TMEM236",1777.89824381015,-4.46646251515114,0.535689864523263,4.32987306195163e-18,1.52964281533287e-15
"MSX2",323.752364950457,5.63678438354099,0.683669277220067,7.09903466517123e-18,2.45567440792715e-15
"CITED1",63.729787907932,4.02225516288838,0.486119759410223,7.36948049716164e-18,2.49720110560963e-15
"TRIB3",3044.95238980581,4.98115129464959,0.617209047867147,3.89845418193022e-17,1.29459866473539e-14
"CLCA4",14972.317082654,-7.29785318793755,0.920591038639852,8.93081443645088e-17,2.90759299809471e-14
"HHLA2",3630.01738431273,-3.58253346621104,0.450369499388637,1.09242267650444e-16,3.48818963859226e-14
