"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"PRKCB",546.327032079439,-2.84913378852639,0.337503081864116,2.75056528998359e-18,1.08549094479709e-15
"MMP1",1022.61286314623,4.38755011145571,0.525450093224765,4.13294051097006e-18,1.59310439463555e-15
"ABCG2",2736.30692721841,-6.35947935863023,0.772930469881151,9.7492939644463e-18,3.67260335137949e-15
"CTHRC1",558.429886655378,4.09278122426626,0.497011232886036,1.16484205533334e-17,4.29050157047779e-15
"RHPN1",664.305386052528,3.99910141172144,0.487487072060018,1.40592646597939e-17,5.06591982034964e-15
"SALL4",41.5278425672244,4.66658765277499,0.564372783911875,1.69129366802184e-17,5.96450905265147e-15
"TNS4",3128.72431270173,4.09321146128846,0.503399265029756,2.73583957703269e-17,9.44719603944101e-15
"ADAMTS12",469.024970703602,3.66198464639015,0.451346440657221,3.41249007757257e-17,1.1543270007299e-14
"KRT23",856.024798531783,7.51217183679113,0.939425923458893,5.76430104196007e-17,1.91086579540976e-14
"ASCL2",4261.17593060813,4.75084749269017,0.594848582989214,8.08855515644993e-17,2.62878042584623e-14
"ATP6V1C2",195.403290294901,3.1150121622265,0.388838673770964,9.12634812247189e-17,2.90902346403791e-14
"BEST4",1425.56837996551,-4.58811535597791,0.584178086160097,1.14305636627558e-16,3.57474703226751e-14
"GRIN2B",92.6281890304451,3.79107595989334,0.477075058020846,1.34772703269998e-16,4.13677325314854e-14
"KLF4",7960.39109509988,-2.67440949151786,0.336489056206271,1.49190224552185e-16,4.49605085809539e-14
"MAPK15",158.078073438383,4.9286834780998,0.629039239667967,2.55286275214636e-16,7.55601787800461e-14
"SLCO4A1",2169.52772395701,4.08179470421905,0.522907097067312,3.57382710280526e-16,1.03923130226311e-13
"KIAA0226L",2847.0599224565,2.58275330728507,0.328826359922608,4.08653668475134e-16,1.16783354396127e-13
"IL6R",1635.29806613073,-2.88425712796808,0.369460103479237,4.61503163381826e-16,1.29651100560233e-13
"PPAP2A",1785.59165648125,-1.61387110070057,0.204520978998036,4.98139092564924e-16,1.3761092432106e-13
"GLP2R",204.491818967463,-3.36623817363814,0.428426758299599,6.43609751952932e-16,1.74882485879014e-13
"GAS6-AS1",335.72579458452,3.94194512363561,0.514900678660833,1.1569521564788e-15,3.09298096671551e-13
"CCNO",228.139806723419,3.78276642807267,0.50199259886105,3.068420616553e-15,8.07286852688348e-13
"OSM",88.0485755708005,3.32994473704051,0.439915727820835,3.18487292449939e-15,8.24832323805897e-13
"KIAA1257",119.848824174928,3.94628227617853,0.525434905249715,3.30118812781123e-15,8.41802972591863e-13
"ADAM12",386.346531097435,4.62956957878986,0.616858994945432,3.52691042924128e-15,8.85735460070821e-13
"PABPC1L",348.692115205437,2.8399712865429,0.378370101708951,4.98170706857212e-15,1.23241484569527e-12
"SGK1",7335.93861975936,-3.64774947935662,0.488072479388553,5.73554253216711e-15,1.39803849221573e-12
"CYP27B1",104.50998337795,2.80534357144106,0.378553019757716,7.98499883918816e-15,1.91813559071802e-12
"MFAP2",482.763189834764,2.83025896130808,0.381514725990965,9.18291003706761e-15,2.17438191234851e-12
"TRIM29",2029.22020002766,4.87015852086334,0.659222142290408,9.47881633358841e-15,2.21283634829898e-12
"IL11",66.6605320973354,5.14760538966123,0.699733565039587,9.69009188601632e-15,2.23073990292667e-12
"GCNT2",443.812490749829,-4.27156972988789,0.575916156681878,1.13751996937095e-14,2.58279362908542e-12
"ZZEF1",5360.91381927298,-2.01034769794023,0.271120979962953,1.36456666120758e-14,3.05644492020482e-12
"KLK6",163.536866720007,8.98763633624984,1.23125522986674,2.37414515619514e-14,5.24686079519126e-12
"PDK4",2974.11522806964,-3.68768872420173,0.507808573647503,2.52814113407589e-14,5.51367622332999e-12
"UGT1A10",866.679076626555,-3.76766900731433,0.522081619581499,2.99768301285219e-14,6.40145560669239e-12
"CLDN16",19.9446745290541,4.6102074761003,0.631925875901536,3.01244969726701e-14,6.40145560669239e-12
"LINC00460",25.529993910458,8.10153961929227,1.40106865225002,3.55968513665449e-14,7.46857989114534e-12
"EPB41L3",2108.8877486627,-3.25829928843418,0.451261165444519,3.7083671041843e-14,7.68327309398185e-12
"ACSL6",584.626741728251,4.46170046135747,0.622403021093033,4.336613608581e-14,8.87399636570741e-12
"FJX1",134.100590268905,3.46631174810773,0.484871741899341,4.87498843398753e-14,9.85401625528576e-12
"RNF152",1052.71244704575,-3.49584940132724,0.486325774741268,5.57964808689857e-14,1.11424900048607e-11
"RP11-345P4.9",172.318982141053,-1.74841949447296,0.240977645276805,5.76401166487632e-14,1.13736301601577e-11
"NANOS3",76.2612403970585,4.38303880734848,0.61750450467426,6.0393771276804e-14,1.17767853989768e-11
"TESC",1894.214963977,5.42235167327464,0.765903449293898,7.43714520837001e-14,1.43338002126434e-11
"SLC51A",1409.40523007688,-4.64331583696179,0.658757872314249,7.91603033676613e-14,1.50814026243562e-11
"CST1",982.810903401915,9.25163308611771,1.32239220802014,8.55261000034518e-14,1.61090353131502e-11
"CPNE7",524.055417136037,4.97890384782691,0.704899378663623,8.73146307904833e-14,1.62611236556434e-11
"CELSR1",758.845168811491,2.93419806331347,0.414289279457048,1.07642665883721e-13,1.98241909669187e-11
"RP11-353N14.5",40.4885975355365,2.99190059346905,0.425243297264157,1.25262501349752e-13,2.28156698887048e-11
"CDC25B",4241.31349890484,2.77122204020502,0.392963595335426,1.44032059160086e-13,2.59492541367219e-11
"CCNE1",310.732122537143,2.25355005920597,0.318431457484013,1.45952526658698e-13,2.6012506767397e-11
"POLR1C",889.575985768957,1.47980006851725,0.206854277086937,1.64649868587482e-13,2.90326762961437e-11
"C2orf70",98.9889007670651,3.95067464617269,0.569796671746282,2.23247437163514e-13,3.89508028524762e-11
"NFE2L3",2880.76944201991,3.06426486400635,0.438843472011329,2.34845062919725e-13,4.03014431360132e-11
"RP11-353N14.4",87.2834660229055,4.07131474106431,0.58841589208294,2.35851582756759e-13,4.03014431360132e-11
"GINS1",596.736896438875,2.03002317451858,0.289147164310662,2.63367538833017e-13,4.45440505730332e-11
"CLEC3B",940.454284770198,-3.62508247892533,0.524936351869767,2.83735285118118e-13,4.75041651599273e-11
"LEF1",249.783240421539,2.37586164377533,0.340448897521757,3.04726229580378e-13,5.05083725529477e-11
"SLC25A34",457.947746800993,-4.32788658084124,0.631501044581214,3.11604094488174e-13,5.11370085756582e-11
"COL7A1",546.552311411033,2.76020959028761,0.39795359845248,3.3728520395332e-13,5.48088456424145e-11
"SPP1",4494.67926727161,4.9734555479374,0.725095111333175,3.70555899306995e-13,5.96307187477033e-11
"RNF183",92.2181083474963,3.87210653992161,0.565305623074511,3.84784275032322e-13,6.09406750234672e-11
"KRT6B",71.2195373391107,5.89522468922884,0.865445816998309,3.86049525035539e-13,6.09406750234672e-11
